Order.ID,Ship.Date,Ship.Mode,Shipping.Cost
CA-2014-104647,2014-03-02 00:00:00.000,Standard Class,3.82
CA-2014-128965,2014-04-23 00:00:00.000,Standard Class,2.84
CA-2014-120222,2014-05-03 00:00:00.000,Standard Class,1.52
CA-2014-147844,2014-05-07 00:00:00.000,Standard Class,0.93
CA-2014-147844,2014-05-07 00:00:00.000,Standard Class,2.54
US-2014-152002,2014-06-12 00:00:00.000,Same Day,23.65
CA-2014-112753,2014-06-24 00:00:00.000,Standard Class,4.89
US-2014-113201,2014-07-06 00:00:00.000,Standard Class,14.98
CA-2014-133718,2014-07-27 00:00:00.000,First Class,7.82
CA-2014-105326,2014-08-28 00:00:00.000,Standard Class,1.27
CA-2014-137498,2014-09-15 00:00:00.000,Second Class,5.29
US-2014-109582,2014-09-18 00:00:00.000,Second Class,11.1
CA-2014-121853,2014-09-30 00:00:00.000,Standard Class,15.64
US-2014-115595,2014-10-12 00:00:00.000,First Class,7.79
CA-2014-110842,2014-11-17 00:00:00.000,Standard Class,1.43
US-2014-125808,2014-11-16 00:00:00.000,Second Class,1.71
CA-2014-118542,2014-12-06 00:00:00.000,Standard Class,3.56
CA-2014-102099,2014-12-20 00:00:00.000,First Class,0.94
CA-2014-102099,2014-12-20 00:00:00.000,First Class,1.09
CA-2011-164903,2011-02-25 00:00:00.000,Standard Class,1.14
CA-2011-102652,2011-04-12 00:00:00.000,Standard Class,2.28
CA-2011-102652,2011-04-12 00:00:00.000,Standard Class,2.11
CA-2011-113768,2011-05-19 00:00:00.000,Standard Class,0.15
CA-2011-146528,2011-07-27 00:00:00.000,Second Class,0.79
CA-2011-104178,2011-08-29 00:00:00.000,Standard Class,3.11
CA-2011-106439,2011-11-04 00:00:00.000,Standard Class,6.72
CA-2011-168305,2011-11-08 00:00:00.000,Standard Class,0.92
CA-2011-140732,2011-11-13 00:00:00.000,Second Class,27.69
CA-2012-163104,2012-03-26 00:00:00.000,Standard Class,1.2
US-2012-107944,2012-03-25 00:00:00.000,First Class,27.31
CA-2012-138219,2012-03-30 00:00:00.000,Standard Class,2.16
CA-2012-142601,2012-04-20 00:00:00.000,Second Class,8.38
CA-2012-165554,2012-05-22 00:00:00.000,Standard Class,1.0
CA-2012-161242,2012-06-08 00:00:00.000,Standard Class,0.82
CA-2012-133025,2012-09-19 00:00:00.000,Second Class,7.02
CA-2012-132815,2012-09-22 00:00:00.000,Second Class,3.62
CA-2012-153220,2012-11-14 00:00:00.000,First Class,3.41
CA-2012-125234,2012-12-01 00:00:00.000,Standard Class,9.19
CA-2012-141593,2012-12-16 00:00:00.000,Second Class,1.31
CA-2012-144890,2012-12-29 00:00:00.000,Standard Class,0.22
CA-2013-129238,2013-02-04 00:00:00.000,Standard Class,4.73
CA-2013-154067,2013-02-07 00:00:00.000,Standard Class,8.11
CA-2013-112942,2013-02-18 00:00:00.000,Standard Class,8.08
CA-2013-159016,2013-03-12 00:00:00.000,First Class,2.67
US-2013-159093,2013-05-15 00:00:00.000,Standard Class,1.48
CA-2013-147473,2013-06-04 00:00:00.000,Standard Class,2.81
US-2013-155971,2013-06-13 00:00:00.000,Standard Class,4.9
CA-2013-144015,2013-06-27 00:00:00.000,Same Day,2.73
US-2013-126452,2013-08-29 00:00:00.000,Standard Class,3.43
US-2013-126452,2013-08-29 00:00:00.000,Standard Class,1.16
CA-2013-109806,2013-09-23 00:00:00.000,Standard Class,0.52
CA-2013-155187,2013-09-27 00:00:00.000,Second Class,5.31
CA-2013-119018,2013-11-09 00:00:00.000,Standard Class,6.66
CA-2013-152646,2013-11-27 00:00:00.000,Standard Class,1.97
US-2013-103674,2013-12-11 00:00:00.000,Standard Class,0.8
CA-2013-145919,2013-12-24 00:00:00.000,Standard Class,5.02
US-2013-116729,2013-12-29 00:00:00.000,First Class,1.33
CA-2014-117212,2014-03-01 00:00:00.000,Second Class,17.93
CA-2014-117212,2014-03-01 00:00:00.000,Second Class,2.6
CA-2014-134635,2014-04-18 00:00:00.000,Second Class,17.5
CA-2014-120614,2014-06-05 00:00:00.000,Standard Class,1.63
CA-2014-145772,2014-06-08 00:00:00.000,Standard Class,1.4
CA-2014-113670,2014-10-18 00:00:00.000,First Class,35.32
CA-2014-109701,2014-12-04 00:00:00.000,Same Day,1.77
CA-2014-153227,2014-12-07 00:00:00.000,First Class,2.14
CA-2014-161578,2014-12-22 00:00:00.000,Second Class,1.23
CA-2011-153808,2011-04-10 00:00:00.000,Second Class,8.74
CA-2011-110849,2011-04-23 00:00:00.000,Standard Class,1.79
CA-2011-110849,2011-04-23 00:00:00.000,Standard Class,0.6
CA-2011-116785,2011-04-30 00:00:00.000,Standard Class,3.37
US-2011-154879,2011-05-11 00:00:00.000,Standard Class,10.88
CA-2011-115812,2011-06-14 00:00:00.000,Standard Class,0.49
CA-2011-114643,2011-06-17 00:00:00.000,Standard Class,2.33
CA-2011-109218,2011-07-03 00:00:00.000,Second Class,1.53
CA-2011-122679,2011-07-28 00:00:00.000,Standard Class,1.37
CA-2011-106439,2011-11-04 00:00:00.000,Standard Class,1.78
CA-2011-153619,2011-11-03 00:00:00.000,Same Day,1.6
CA-2011-105270,2011-11-18 00:00:00.000,Standard Class,4.02
US-2011-144078,2011-11-29 00:00:00.000,Standard Class,0.62
CA-2011-133830,2011-12-10 00:00:00.000,Standard Class,1.45
CA-2011-138737,2011-12-10 00:00:00.000,First Class,0.71
CA-2011-156594,2011-12-23 00:00:00.000,Second Class,6.7
CA-2011-156594,2011-12-23 00:00:00.000,Second Class,0.68
CA-2012-151253,2012-04-26 00:00:00.000,Standard Class,7.61
CA-2012-115945,2012-07-01 00:00:00.000,Standard Class,1.56
CA-2012-153388,2012-08-07 00:00:00.000,Standard Class,0.33
CA-2012-167745,2012-09-23 00:00:00.000,Standard Class,0.91
CA-2012-144652,2012-11-26 00:00:00.000,Standard Class,1.07
CA-2012-105347,2012-11-28 00:00:00.000,Standard Class,0.76
CA-2012-115693,2012-12-15 00:00:00.000,Standard Class,4.99
CA-2012-134117,2012-12-19 00:00:00.000,Second Class,72.45
CA-2012-134117,2012-12-19 00:00:00.000,Second Class,2.73
CA-2013-146437,2013-02-01 00:00:00.000,Second Class,3.91
US-2013-115819,2013-04-25 00:00:00.000,Second Class,0.41
US-2013-115819,2013-04-25 00:00:00.000,Second Class,7.83
CA-2013-140256,2013-08-30 00:00:00.000,Standard Class,0.52
US-2013-100405,2013-08-29 00:00:00.000,Second Class,2.99
CA-2013-126732,2013-09-07 00:00:00.000,Standard Class,1.73
CA-2013-109806,2013-09-23 00:00:00.000,Standard Class,1.44
CA-2013-161746,2013-10-28 00:00:00.000,Standard Class,0.09
CA-2013-158694,2013-11-14 00:00:00.000,Second Class,1.23
US-2013-112970,2013-11-16 00:00:00.000,First Class,2.71
CA-2013-107104,2013-12-01 00:00:00.000,Standard Class,1.58
CA-2013-104689,2013-12-06 00:00:00.000,Standard Class,1.32
US-2013-103674,2013-12-11 00:00:00.000,Standard Class,1.6
CA-2013-129868,2014-01-01 00:00:00.000,Standard Class,2.39
CA-2014-160934,2014-01-20 00:00:00.000,Standard Class,2.0
CA-2014-134838,2014-02-21 00:00:00.000,First Class,0.83
CA-2014-110478,2014-03-10 00:00:00.000,Standard Class,0.7
CA-2014-143084,2014-03-23 00:00:00.000,Standard Class,0.56
US-2014-120117,2014-03-31 00:00:00.000,Same Day,0.38
CA-2014-168228,2014-04-30 00:00:00.000,First Class,10.4
CA-2014-168228,2014-04-30 00:00:00.000,First Class,18.3
CA-2014-168228,2014-04-30 00:00:00.000,First Class,2.53
CA-2014-154501,2014-05-06 00:00:00.000,Standard Class,0.21
CA-2014-147844,2014-05-07 00:00:00.000,Standard Class,3.63
US-2014-151127,2014-05-26 00:00:00.000,First Class,5.26
CA-2014-143343,2014-06-14 00:00:00.000,First Class,1.49
CA-2014-135167,2014-06-21 00:00:00.000,Standard Class,0.29
CA-2014-138149,2014-07-01 00:00:00.000,First Class,2.05
CA-2014-137498,2014-09-15 00:00:00.000,Second Class,0.2
CA-2014-102974,2014-09-25 00:00:00.000,Standard Class,1.41
CA-2014-102974,2014-09-25 00:00:00.000,Standard Class,0.88
US-2014-141509,2014-10-02 00:00:00.000,First Class,4.52
CA-2014-112431,2014-10-15 00:00:00.000,Second Class,0.81
CA-2014-100013,2014-11-12 00:00:00.000,Standard Class,0.19
CA-2014-124261,2014-11-20 00:00:00.000,Standard Class,1.02
CA-2014-109701,2014-12-04 00:00:00.000,Same Day,0.23
CA-2014-102407,2014-12-14 00:00:00.000,Second Class,1.5
CA-2014-102099,2014-12-20 00:00:00.000,First Class,1.05
CA-2014-163405,2014-12-26 00:00:00.000,Standard Class,0.66
CA-2014-163405,2014-12-26 00:00:00.000,Standard Class,0.29
CA-2011-120838,2011-03-26 00:00:00.000,Second Class,34.62
US-2011-120740,2011-04-15 00:00:00.000,Same Day,20.75
CA-2011-146528,2011-07-27 00:00:00.000,Second Class,0.86
CA-2011-169642,2011-07-30 00:00:00.000,Second Class,32.27
CA-2011-101931,2011-10-31 00:00:00.000,First Class,14.96
CA-2011-101931,2011-10-31 00:00:00.000,First Class,21.55
CA-2011-101931,2011-10-31 00:00:00.000,First Class,1.41
CA-2011-140732,2011-11-13 00:00:00.000,Second Class,0.92
CA-2011-127558,2011-11-18 00:00:00.000,First Class,5.13
CA-2011-119144,2011-11-18 00:00:00.000,First Class,89.84
US-2011-157385,2011-11-25 00:00:00.000,First Class,2.9
CA-2011-150203,2011-12-07 00:00:00.000,First Class,36.78
CA-2011-106726,2011-12-08 00:00:00.000,First Class,506.49
CA-2011-162992,2011-12-21 00:00:00.000,First Class,2.33
CA-2011-162992,2011-12-21 00:00:00.000,First Class,1.2
CA-2011-120243,2011-12-30 00:00:00.000,Second Class,1.06
CA-2012-116092,2012-02-18 00:00:00.000,Second Class,43.71
CA-2012-142601,2012-04-20 00:00:00.000,Second Class,36.83
CA-2012-149972,2012-09-23 00:00:00.000,First Class,1.9
CA-2012-168760,2012-09-26 00:00:00.000,Second Class,15.69
US-2012-119312,2012-10-07 00:00:00.000,Second Class,29.13
CA-2012-152527,2012-10-17 00:00:00.000,Same Day,18.46
CA-2012-137708,2012-11-25 00:00:00.000,Second Class,6.73
CA-2012-118871,2012-12-09 00:00:00.000,Second Class,34.62
CA-2012-110870,2012-12-15 00:00:00.000,First Class,4.91
CA-2012-125423,2012-12-15 00:00:00.000,Second Class,0.87
CA-2013-125206,2013-01-05 00:00:00.000,First Class,14.24
CA-2013-139010,2013-02-26 00:00:00.000,Second Class,54.23
CA-2013-131380,2013-04-01 00:00:00.000,Second Class,23.69
CA-2013-130638,2013-05-20 00:00:00.000,Second Class,2.0
CA-2013-138688,2013-06-17 00:00:00.000,Second Class,1.47
CA-2013-123512,2013-06-20 00:00:00.000,First Class,3.7
CA-2013-144015,2013-06-27 00:00:00.000,Same Day,4.89
CA-2013-144015,2013-06-27 00:00:00.000,Same Day,43.08
CA-2013-130029,2013-07-07 00:00:00.000,First Class,0.66
CA-2013-111115,2013-07-28 00:00:00.000,Second Class,4.35
CA-2013-155187,2013-09-27 00:00:00.000,Second Class,2.92
CA-2013-114972,2013-11-07 00:00:00.000,First Class,364.76
CA-2013-114972,2013-11-07 00:00:00.000,First Class,11.56
CA-2013-161669,2013-11-10 00:00:00.000,First Class,1.92
CA-2013-161669,2013-11-10 00:00:00.000,First Class,1.38
CA-2013-158694,2013-11-14 00:00:00.000,Second Class,16.65
CA-2013-158694,2013-11-14 00:00:00.000,Second Class,105.59
US-2013-111528,2013-12-31 00:00:00.000,Same Day,56.65
CA-2014-164707,2014-02-22 00:00:00.000,Second Class,2.16
CA-2014-117212,2014-03-01 00:00:00.000,Second Class,9.84
CA-2014-122007,2014-03-21 00:00:00.000,Second Class,6.89
CA-2014-108539,2014-03-24 00:00:00.000,Second Class,58.05
CA-2014-132178,2014-05-09 00:00:00.000,Second Class,50.46
CA-2014-132178,2014-05-09 00:00:00.000,Second Class,4.22
CA-2014-140963,2014-06-14 00:00:00.000,First Class,3.12
CA-2014-141481,2014-06-15 00:00:00.000,First Class,8.47
CA-2014-138149,2014-07-01 00:00:00.000,First Class,34.83
US-2014-143175,2014-08-07 00:00:00.000,Second Class,3.05
CA-2014-169327,2014-09-05 00:00:00.000,Second Class,3.94
US-2014-157224,2014-09-19 00:00:00.000,Second Class,2.1
CA-2014-165155,2014-09-24 00:00:00.000,First Class,4.31
CA-2014-109701,2014-12-04 00:00:00.000,Same Day,8.23
CA-2014-102407,2014-12-14 00:00:00.000,Second Class,14.17
CA-2014-161578,2014-12-22 00:00:00.000,Second Class,15.27
CA-2011-110849,2011-04-23 00:00:00.000,Standard Class,0.96
CA-2011-116785,2011-04-30 00:00:00.000,Standard Class,1.8
CA-2011-114125,2011-07-13 00:00:00.000,Standard Class,0.47
CA-2011-114125,2011-07-13 00:00:00.000,Standard Class,1.7
CA-2011-110184,2011-07-16 00:00:00.000,Standard Class,52.56
CA-2011-104178,2011-08-29 00:00:00.000,Standard Class,3.81
CA-2011-146969,2011-10-03 00:00:00.000,Standard Class,1.29
CA-2011-146969,2011-10-03 00:00:00.000,Standard Class,5.67
CA-2011-106439,2011-11-04 00:00:00.000,Standard Class,1.2
CA-2011-106439,2011-11-04 00:00:00.000,Standard Class,15.67
CA-2011-106439,2011-11-04 00:00:00.000,Standard Class,18.82
CA-2012-121776,2012-02-21 00:00:00.000,Standard Class,9.83
US-2012-120502,2012-04-19 00:00:00.000,Standard Class,8.99
CA-2012-115420,2012-05-02 00:00:00.000,Standard Class,2.31
CA-2012-165162,2012-05-21 00:00:00.000,Standard Class,137.93
CA-2012-149846,2012-05-26 00:00:00.000,Standard Class,0.8
CA-2012-149846,2012-05-26 00:00:00.000,Standard Class,13.18
CA-2012-132906,2012-09-14 00:00:00.000,Standard Class,7.75
CA-2012-100573,2012-10-01 00:00:00.000,Standard Class,1.73
CA-2012-129532,2012-12-12 00:00:00.000,Standard Class,43.34
CA-2012-148376,2012-12-31 00:00:00.000,Standard Class,11.51
CA-2012-148376,2012-12-31 00:00:00.000,Standard Class,4.27
CA-2013-130477,2013-04-13 00:00:00.000,Standard Class,7.09
CA-2013-138282,2013-05-24 00:00:00.000,Standard Class,7.92
CA-2013-134803,2013-06-04 00:00:00.000,Standard Class,26.48
CA-2013-167241,2013-08-23 00:00:00.000,Standard Class,2.88
CA-2013-130162,2013-11-02 00:00:00.000,Standard Class,6.35
CA-2013-166226,2013-11-23 00:00:00.000,Standard Class,6.48
CA-2013-145919,2013-12-24 00:00:00.000,Standard Class,53.83
CA-2014-145807,2014-02-14 00:00:00.000,Standard Class,48.88
CA-2014-129294,2014-03-22 00:00:00.000,Standard Class,14.92
CA-2014-129294,2014-03-22 00:00:00.000,Standard Class,26.14
US-2014-160143,2014-04-08 00:00:00.000,Standard Class,4.08
CA-2014-164959,2014-07-16 00:00:00.000,Standard Class,1.11
CA-2014-141929,2014-09-09 00:00:00.000,Standard Class,26.6
CA-2014-100825,2014-09-15 00:00:00.000,Standard Class,10.94
CA-2014-105914,2014-10-09 00:00:00.000,Standard Class,127.15
CA-2011-112291,2011-04-08 00:00:00.000,Standard Class,0.24
US-2011-154879,2011-05-11 00:00:00.000,Standard Class,0.33
CA-2011-115812,2011-06-14 00:00:00.000,Standard Class,8.23
CA-2011-133704,2011-09-26 00:00:00.000,Standard Class,1.65
CA-2011-168305,2011-11-08 00:00:00.000,Standard Class,2.77
CA-2011-133830,2011-12-10 00:00:00.000,Standard Class,1.15
US-2011-167738,2011-12-29 00:00:00.000,Standard Class,10.28
US-2011-138247,2011-12-29 00:00:00.000,Standard Class,26.47
US-2011-138247,2011-12-29 00:00:00.000,Standard Class,1.27
CA-2012-111234,2012-02-22 00:00:00.000,Standard Class,0.7
CA-2012-121965,2012-06-23 00:00:00.000,Standard Class,5.15
CA-2012-115945,2012-07-01 00:00:00.000,Standard Class,11.27
CA-2012-162369,2012-08-19 00:00:00.000,Standard Class,18.13
US-2012-139759,2012-08-30 00:00:00.000,Standard Class,6.04
CA-2012-121188,2012-09-04 00:00:00.000,Standard Class,48.16
CA-2012-121188,2012-09-04 00:00:00.000,Standard Class,85.38
CA-2012-167745,2012-09-23 00:00:00.000,Standard Class,0.77
CA-2012-103835,2012-09-28 00:00:00.000,Standard Class,56.16
CA-2012-129546,2012-10-05 00:00:00.000,Standard Class,12.14
CA-2012-129546,2012-10-05 00:00:00.000,Standard Class,3.51
CA-2012-160171,2012-10-24 00:00:00.000,Standard Class,99.85
CA-2012-153416,2012-11-29 00:00:00.000,Standard Class,42.98
CA-2012-149566,2012-12-10 00:00:00.000,Standard Class,0.48
CA-2012-158456,2012-12-29 00:00:00.000,Standard Class,0.38
CA-2012-135580,2013-01-03 00:00:00.000,Standard Class,16.48
CA-2012-135580,2013-01-03 00:00:00.000,Standard Class,4.91
CA-2013-101189,2013-02-09 00:00:00.000,Standard Class,6.61
US-2013-143280,2013-02-26 00:00:00.000,Standard Class,1.21
CA-2013-137729,2013-05-10 00:00:00.000,Standard Class,0.24
US-2013-155971,2013-06-13 00:00:00.000,Standard Class,1.72
CA-2013-113243,2013-06-16 00:00:00.000,Standard Class,0.9
CA-2013-118913,2013-06-30 00:00:00.000,Standard Class,4.29
CA-2013-101343,2013-07-23 00:00:00.000,Standard Class,4.31
CA-2013-140046,2013-08-04 00:00:00.000,Standard Class,1.24
CA-2013-107328,2013-08-16 00:00:00.000,Standard Class,36.22
CA-2013-126732,2013-09-07 00:00:00.000,Standard Class,1.34
CA-2013-100944,2013-09-29 00:00:00.000,Standard Class,14.71
CA-2013-161746,2013-10-28 00:00:00.000,Standard Class,29.78
CA-2013-144218,2013-11-05 00:00:00.000,Standard Class,64.42
CA-2013-109365,2013-11-09 00:00:00.000,Standard Class,4.21
CA-2013-109365,2013-11-09 00:00:00.000,Standard Class,1.34
CA-2013-145492,2013-11-28 00:00:00.000,Standard Class,2.35
CA-2013-107104,2013-12-01 00:00:00.000,Standard Class,3.16
CA-2013-161025,2013-12-10 00:00:00.000,Standard Class,53.32
US-2013-103674,2013-12-11 00:00:00.000,Standard Class,1.25
CA-2013-129868,2014-01-01 00:00:00.000,Standard Class,0.54
CA-2013-129868,2014-01-01 00:00:00.000,Standard Class,1.23
CA-2014-161333,2014-02-08 00:00:00.000,Standard Class,2.86
CA-2014-161333,2014-02-08 00:00:00.000,Standard Class,7.18
CA-2014-110478,2014-03-10 00:00:00.000,Standard Class,1.53
CA-2014-143084,2014-03-23 00:00:00.000,Standard Class,1.76
CA-2014-140515,2014-03-25 00:00:00.000,Standard Class,21.55
CA-2014-128965,2014-04-23 00:00:00.000,Standard Class,0.69
CA-2014-128965,2014-04-23 00:00:00.000,Standard Class,2.01
CA-2014-128965,2014-04-23 00:00:00.000,Standard Class,0.62
CA-2014-139437,2014-07-09 00:00:00.000,Standard Class,6.23
CA-2014-106824,2014-07-12 00:00:00.000,Standard Class,0.39
CA-2014-162012,2014-07-19 00:00:00.000,Standard Class,10.21
CA-2014-117261,2014-09-11 00:00:00.000,Standard Class,3.88
US-2014-115609,2014-11-08 00:00:00.000,Standard Class,10.3
CA-2014-100013,2014-11-12 00:00:00.000,Standard Class,1.03
CA-2014-110842,2014-11-17 00:00:00.000,Standard Class,0.85
CA-2014-126242,2014-11-25 00:00:00.000,Standard Class,12.16
CA-2014-121398,2014-12-30 00:00:00.000,Standard Class,16.73
CA-2011-157147,2011-01-19 00:00:00.000,Standard Class,3.03
CA-2011-157147,2011-01-19 00:00:00.000,Standard Class,187.65
CA-2011-128237,2011-03-30 00:00:00.000,Standard Class,2.03
CA-2011-128237,2011-03-30 00:00:00.000,Standard Class,1.35
CA-2011-128237,2011-03-30 00:00:00.000,Standard Class,0.46
CA-2011-141838,2011-03-31 00:00:00.000,Second Class,0.19
CA-2011-128055,2011-04-05 00:00:00.000,Standard Class,3.17
CA-2011-105172,2011-04-09 00:00:00.000,Standard Class,2.66
CA-2011-133851,2011-06-16 00:00:00.000,Standard Class,2.24
CA-2011-133851,2011-06-16 00:00:00.000,Standard Class,0.84
CA-2011-113271,2011-07-14 00:00:00.000,Standard Class,0.28
CA-2011-116932,2011-07-25 00:00:00.000,Standard Class,7.53
CA-2011-117464,2011-07-24 00:00:00.000,Second Class,1.92
CA-2011-117464,2011-07-24 00:00:00.000,Second Class,28.62
CA-2011-145254,2011-07-27 00:00:00.000,Standard Class,3.27
CA-2011-143917,2011-07-27 00:00:00.000,Second Class,5.53
CA-2011-143917,2011-07-27 00:00:00.000,Second Class,16.77
CA-2011-150490,2011-08-11 00:00:00.000,Standard Class,4.43
CA-2011-150490,2011-08-11 00:00:00.000,Standard Class,0.29
US-2011-164406,2011-08-19 00:00:00.000,Standard Class,20.47
CA-2011-143336,2011-09-01 00:00:00.000,Second Class,1.58
CA-2011-130449,2011-09-09 00:00:00.000,First Class,3.81
CA-2011-168592,2011-09-14 00:00:00.000,Standard Class,5.59
CA-2011-168592,2011-09-14 00:00:00.000,Standard Class,0.29
CA-2011-168592,2011-09-14 00:00:00.000,Standard Class,1.26
CA-2011-159849,2011-09-19 00:00:00.000,Same Day,0.67
CA-2011-156433,2011-09-26 00:00:00.000,Standard Class,0.2
CA-2011-153969,2011-09-25 00:00:00.000,Standard Class,6.51
CA-2011-153969,2011-09-25 00:00:00.000,Standard Class,7.85
CA-2011-153969,2011-09-25 00:00:00.000,Standard Class,2.3
CA-2011-123344,2011-09-29 00:00:00.000,Standard Class,7.99
CA-2011-138240,2011-10-14 00:00:00.000,Standard Class,8.56
CA-2011-139451,2011-10-16 00:00:00.000,Standard Class,0.45
CA-2011-139451,2011-10-16 00:00:00.000,Standard Class,1.54
CA-2011-155264,2011-10-22 00:00:00.000,Second Class,2.31
CA-2011-115889,2011-11-06 00:00:00.000,Standard Class,34.38
CA-2011-144666,2011-11-11 00:00:00.000,Second Class,21.12
CA-2011-144666,2011-11-11 00:00:00.000,Second Class,51.9
CA-2011-128622,2011-11-17 00:00:00.000,Second Class,2.3
CA-2011-140662,2011-11-19 00:00:00.000,First Class,14.77
CA-2011-105249,2011-11-28 00:00:00.000,Same Day,3.39
CA-2011-105249,2011-11-28 00:00:00.000,Same Day,1.36
CA-2011-159800,2011-12-01 00:00:00.000,First Class,3.95
CA-2011-153983,2011-12-06 00:00:00.000,Standard Class,2.12
CA-2011-110786,2012-01-02 00:00:00.000,Standard Class,0.2
CA-2012-158701,2012-01-10 00:00:00.000,Standard Class,5.39
CA-2012-155306,2012-04-21 00:00:00.000,Standard Class,114.8
CA-2012-155306,2012-04-21 00:00:00.000,Standard Class,0.33
CA-2012-103716,2012-05-06 00:00:00.000,Standard Class,3.03
CA-2012-104486,2012-05-06 00:00:00.000,Standard Class,3.61
CA-2012-104486,2012-05-06 00:00:00.000,Standard Class,5.55
CA-2012-150770,2012-05-06 00:00:00.000,First Class,2.23
CA-2012-136735,2012-08-02 00:00:00.000,Standard Class,21.59
CA-2012-130456,2012-08-26 00:00:00.000,Standard Class,4.69
CA-2012-130204,2012-09-09 00:00:00.000,Standard Class,4.69
CA-2012-167255,2012-09-29 00:00:00.000,Second Class,1.95
CA-2012-169201,2012-10-01 00:00:00.000,First Class,17.63
CA-2012-169201,2012-10-01 00:00:00.000,First Class,12.13
CA-2012-121391,2012-10-07 00:00:00.000,First Class,5.23
CA-2012-152891,2012-10-30 00:00:00.000,Standard Class,2.59
CA-2012-110289,2012-11-02 00:00:00.000,Standard Class,18.58
CA-2012-145485,2012-11-05 00:00:00.000,Same Day,11.68
CA-2012-164497,2012-11-30 00:00:00.000,First Class,0.16
CA-2012-168634,2012-12-11 00:00:00.000,Standard Class,0.67
CA-2012-127502,2012-12-14 00:00:00.000,Standard Class,0.27
CA-2012-130113,2012-12-31 00:00:00.000,Standard Class,26.7
CA-2013-153661,2013-01-31 00:00:00.000,First Class,2.51
CA-2013-153661,2013-01-31 00:00:00.000,First Class,34.33
CA-2013-120005,2013-03-04 00:00:00.000,Same Day,3.5
CA-2013-127138,2013-03-16 00:00:00.000,Second Class,6.36
CA-2013-127138,2013-03-16 00:00:00.000,Second Class,1.8
CA-2013-127138,2013-03-16 00:00:00.000,Second Class,18.47
CA-2013-136301,2013-03-16 00:00:00.000,Second Class,56.09
